Team,Opponent,Date,Time,Location,Score,GF,GA,Result,IsHome,EventID,GroupID,SourceURL,DateISO,Team_Age,Opponent_Age,Confidence
Delaware Knights Delaware Knights 2018 BU08,Johnstown FC Johnstown FC 2018 Boys,,,,,,,,False,45535,418528,https://system.gotsport.com/org_event/events/45535/schedules?group=418528,,2018,2018,High
Delaware Knights Delaware Knights 2018 BU08,Upper Arlington United UAU 2018 BU U8 BLACK,,,,,,,,False,45535,418528,https://system.gotsport.com/org_event/events/45535/schedules?group=418528,,2018,2018,High
Delaware Knights Delaware Knights 2018 BU08,Elite FC Elite FC 2018 Boys Liverpool,,,,,,,,False,45535,418528,https://system.gotsport.com/org_event/events/45535/schedules?group=418528,,2018,2018,High
Delaware Knights Delaware Knights 2018 BU08,LFC United LFC United 2018 B Elite,,,,,,,,False,45535,418528,https://system.gotsport.com/org_event/events/45535/schedules?group=418528,,2018,2018,High
Delaware Knights Delaware Knights 2018 BU08,Northwest FC Northwest FC 2018B Academy Blue,,,,,,,,False,45535,418528,https://system.gotsport.com/org_event/events/45535/schedules?group=418528,,2018,2018,High
Delaware Knights Delaware Knights 2018 BU08,Dublin United Soccer Club DUSC Sharks 2018 Boys,,,,,,,,False,45535,418528,https://system.gotsport.com/org_event/events/45535/schedules?group=418528,,2018,2018,High
Delaware Knights Delaware Knights 2018 BU08,Grove City Kids Association GCKA 2018B,,,,,,,,False,45535,418528,https://system.gotsport.com/org_event/events/45535/schedules?group=418528,,2018,2018,High
Delaware Knights Delaware Knights 2018 BU08,Elite FC Elite FC 2018 Boys Tottenham,,,,,,,,False,45535,418528,https://system.gotsport.com/org_event/events/45535/schedules?group=418528,,2018,2018,High
Delaware Knights Delaware Knights 2018 BU08,Club Oranje Club Oranje Raptors 2018 BU08 Navy,,,,,,,,False,45535,418528,https://system.gotsport.com/org_event/events/45535/schedules?group=418528,,2018,2018,High
Delaware Knights Delaware Knights 2018 BU08,LFC United LFC United 2018 B Elite 2,,,,,,,,False,45535,418528,https://system.gotsport.com/org_event/events/45535/schedules?group=418528,,2018,2018,High
Delaware Knights Delaware Knights 2018 BU08,Worthington United WSP Hawkeyes Blue SC 2018 Boys,,,,,,,,False,45535,418528,https://system.gotsport.com/org_event/events/45535/schedules?group=418528,,2018,2018,High
Delaware Knights Delaware Knights 2018 BU08,Zanesville Arsenal SC Zanesville Arsenal SC 2018B,,,,,,,,False,45535,418528,https://system.gotsport.com/org_event/events/45535/schedules?group=418528,,2018,2018,High
Delaware Knights Delaware Knights 2018 BU08,Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys,,,,,,,,False,45535,418528,https://system.gotsport.com/org_event/events/45535/schedules?group=418528,,2018,2018,High
Delaware Knights Delaware Knights 2018 BU08,NASA Xtabi NASA Xtabi 2018 Boys,,,,,,,,False,45535,418528,https://system.gotsport.com/org_event/events/45535/schedules?group=418528,,2018,2018,High
Delaware Knights Delaware Knights 2018 BU08,Sporting Columbus Sporting Columbus Boys 2018 II,,"Dec 25, 20251:00 PM – 1:55 PM ESTCanceled",Gahanna - Thompson Park - TP-06 (Thompson Park Ga) 7v7,-,,,,False,45535,418528,https://system.gotsport.com/org_event/events/45535/schedules?group=418528,,2018,2018,High
Delaware Knights Delaware Knights 2018 BU08,Johnstown FC Johnstown FC 2018 Boys,,"Dec 25, 20254:40 PM – 5:35 PM ESTCanceled",Delaware - Smith Park - SMP-04 (Smith Park) 7v7,-,,,,False,45535,418528,https://system.gotsport.com/org_event/events/45535/schedules?group=418528,,2018,2018,High
Delaware Knights Delaware Knights 2018 BU08,Dublin United Soccer Club DUSC Sharks 2018 Boys,,"Dec 25, 202511:00 AM – 11:55 AM ESTCanceled",Hiliard - Hilliard Athletic Complex - HAC-16 (7v7),-,,,,False,45535,418528,https://system.gotsport.com/org_event/events/45535/schedules?group=418528,,2018,2018,High
