Rank,Team,GP,W,D,L,GF,GA,GD,Pts,PPG,StrengthIndex
48,Cincy SC Cincy SC B17 Orange,7.0,3.0,1.0,3.0,28.0,30.0,-2.0,10.0,1.4285714285714286,42.3
49,FC Storm FC Storm B17 IH Orange,7.0,3.0,1.0,3.0,20.0,22.0,-2.0,10.0,1.4285714285714286,42.3
50,Cincinnati United CU Northwest 17B Atalanta,8.0,3.0,2.0,3.0,28.0,20.0,8.0,11.0,1.375,62.1
51,Kings Hammer Soccer Club KHJR NKY B17-1,6.0,2.0,2.0,2.0,16.0,13.0,3.0,8.0,1.3333333333333333,55.1
52,DSX Orange 2018,18.0,7.0,3.0,8.0,3.5,4.5,-1.0,24.0,1.3333333333333333,43.1
53,SP Soccer Academy SP Soccer Academy 2018 Boys Blue,6.0,2.0,2.0,2.0,3.5,3.33,0.17,8.0,1.33,46.5
54,Troy Rattlers B17/18,8.0,3.0,1.0,4.0,0.0,0.0,0.0,10.0,1.25,44.2
55,Columbus United Columbus United B'18 Academy,6.0,2.0,1.0,3.0,2.33,3.83,-1.5,7.0,1.17,37.8
56,Columbus Force SC Columbus Force 18B Blue,6.0,2.0,1.0,3.0,2.83,4.67,-1.84,7.0,1.17,36.8
57,Kings Hammer Soccer Club KHJR CINCY B17-3,6.0,2.0,1.0,3.0,20.0,28.0,-8.0,7.0,1.1666666666666667,27.2
58,Little Miami FC Little Miami FC 2018 Boys,8.0,3.0,0.0,5.0,25.0,48.0,-23.0,9.0,1.125,32.6
59,Kings Hammer Soccer Club KHJR NKY B17-4,7.0,2.0,1.0,4.0,13.0,25.0,-12.0,7.0,1.0,33.2
60,Northwest FC Northwest FC 2018B Academy Orange,6.0,2.0,0.0,4.0,3.0,5.0,-2.0,6.0,1.0,32.3
61,Independence SC ISC B17 Koking,7.0,2.0,1.0,4.0,17.0,49.0,-32.0,7.0,1.0,24.6
62,Elite FC Elite FC 2018 Boys Arsenal,8.0,2.0,1.0,5.0,1.38,3.0,-1.62,7.0,0.88,30.7
63,Kings Hammer Soccer Club KHJR NKY B17-2,8.0,2.0,1.0,5.0,28.0,26.0,2.0,7.0,0.875,41.4
64,Cincinnati United CULM 17B Aston Villa,8.0,2.0,1.0,5.0,15.0,26.0,-11.0,7.0,0.875,31.3
65,Kolping SC Kolping SC B17/18 Orange,7.0,2.0,0.0,5.0,10.0,24.0,-14.0,6.0,0.8571428571428571,29.0
66,Cincinnati United CUSE 17B Dortmund,7.0,1.0,3.0,3.0,16.0,19.0,-3.0,6.0,0.8571428571428571,26.0
67,Cincinnati United CULM 17B Crystal Palace,7.0,1.0,3.0,3.0,11.0,20.0,-9.0,6.0,0.8571428571428571,20.0
68,FC Storm FC Storm B17 IH White,7.0,1.0,3.0,3.0,13.0,19.0,-6.0,6.0,0.8571428571428571,20.0
69,Worthington United Worthington United 94 2018 Boys Red,6.0,1.0,2.0,3.0,3.5,4.5,-0.67,5.0,0.83,32.4
70,BSA Celtic 18B United,8.0,1.0,3.0,4.0,14.0,19.0,-5.0,6.0,0.75,17.5
71,FC Storm FC Storm B17 Loveland White,7.0,1.0,2.0,4.0,14.0,29.0,-15.0,5.0,0.7142857142857143,25.2
