Rank,Team,GP,W,D,L,GF,GA,GD,Pts,PPG,StrengthIndex
1,NKY Gunners Athletic Club NKY Gunners Athletic Club B17,8.0,8.0,0.0,0.0,44.0,4.0,40.0,24.0,3.0,100.0
2,Lawrenceburg Greendale Soccer Club LGSC B17 Red Hawks,6.0,6.0,0.0,0.0,28.0,6.0,22.0,18.0,3.0,96.0
3,Cincy SC Cincy SC B18/17 Premier,6.0,5.0,1.0,0.0,45.0,10.0,35.0,16.0,2.6666666666666665,92.2
4,Kings Hammer Soccer Club KHJR CINCY B17-2,7.0,6.0,0.0,1.0,41.0,17.0,24.0,18.0,2.571428571428572,85.3
5,Lord's Gym Price Hill F.C. B17/18,6.0,5.0,0.0,1.0,26.0,10.0,16.0,15.0,2.5,81.3
6,Lakota Futbol Club Lakota FC B17 Silver,8.0,6.0,1.0,1.0,50.0,10.0,40.0,19.0,2.375,85.4
7,Lakota Futbol Club Lakota FC B17 Gray,7.0,5.0,1.0,1.0,36.0,10.0,26.0,16.0,2.2857142857142856,79.5
8,Fairfield Optimist Soccer Club FOSC B17 White,8.0,6.0,0.0,2.0,29.0,20.0,9.0,18.0,2.25,82.5
9,Total Futbol Academy(OH) TFA B17 Premier,8.0,6.0,0.0,2.0,40.0,24.0,16.0,18.0,2.25,73.5
10,Cincinnati Elite FC Cincinnati Elite FC B17 Gold,6.0,4.0,1.0,1.0,18.0,10.0,8.0,13.0,2.1666666666666665,80.6
11,Cincinnati West CWSC B17 Academy Red,7.0,5.0,0.0,2.0,22.0,14.0,8.0,15.0,2.142857142857143,80.0
12,Springfield Thunder SC Navy B2017,7.0,5.0,0.0,2.0,0.0,0.0,0.0,15.0,2.14,64.9
13,Lakota Futbol Club Lakota FC B17 Red,6.0,4.0,0.0,2.0,36.0,11.0,25.0,12.0,2.0,74.2
14,Lawrenceburg Greendale Soccer Club LGSC B17 Predators,8.0,5.0,1.0,2.0,27.0,12.0,15.0,16.0,2.0,67.3
15,Total Futbol Academy(OH) TFA B17 Elite,6.0,4.0,0.0,2.0,20.0,19.0,1.0,12.0,2.0,64.7
16,Cincy SC Cincy SC B17 Navy,6.0,3.0,2.0,1.0,27.0,16.0,11.0,11.0,1.8333333333333333,63.3
17,Lakota Futbol Club Lakota FC B17 White,7.0,3.0,3.0,1.0,22.0,16.0,6.0,12.0,1.7142857142857142,70.0
18,Lawrenceburg Greendale Soccer Club LGSC B17 Tiger Fury,7.0,4.0,0.0,3.0,30.0,21.0,9.0,12.0,1.7142857142857142,70.0
19,FC Storm FC Storm B17 Loveland Orange,6.0,3.0,1.0,2.0,26.0,11.0,15.0,10.0,1.6666666666666667,61.4
20,Cincinnati Elite FC Cincinnati Elite FC B17 Elite,7.0,2.0,5.0,0.0,20.0,18.0,2.0,11.0,1.5714285714285714,57.7
