Rank,Team,GP,W,D,L,GF,GA,GD,Pts,PPG,StrengthIndex
21,Cincy SC Cincy SC B17 White,8.0,4.0,0.0,4.0,26.0,34.0,-8.0,12.0,1.5,35.0
22,Cincy SC Cincy SC B17 Orange,7.0,3.0,1.0,3.0,28.0,30.0,-2.0,10.0,1.4285714285714286,42.3
23,FC Storm FC Storm B17 IH Orange,7.0,3.0,1.0,3.0,20.0,22.0,-2.0,10.0,1.4285714285714286,42.3
24,Kings Hammer Soccer Club KHJR NKY B17-1,6.0,2.0,2.0,2.0,16.0,13.0,3.0,8.0,1.3333333333333333,55.1
25,Troy Rattlers B17/18,8.0,3.0,1.0,4.0,0.0,0.0,0.0,10.0,1.25,44.2
26,Kings Hammer Soccer Club KHJR CINCY B17-3,6.0,2.0,1.0,3.0,20.0,28.0,-8.0,7.0,1.1666666666666667,27.2
27,Kings Hammer Soccer Club KHJR NKY B17-4,7.0,2.0,1.0,4.0,13.0,25.0,-12.0,7.0,1.0,33.2
28,Independence SC ISC B17 Koking,7.0,2.0,1.0,4.0,17.0,49.0,-32.0,7.0,1.0,24.6
29,Kings Hammer Soccer Club KHJR NKY B17-2,8.0,2.0,1.0,5.0,28.0,26.0,2.0,7.0,0.875,41.4
30,Kolping SC Kolping SC B17/18 Orange,7.0,2.0,0.0,5.0,10.0,24.0,-14.0,6.0,0.8571428571428571,29.0
31,FC Storm FC Storm B17 IH White,7.0,1.0,3.0,3.0,13.0,19.0,-6.0,6.0,0.8571428571428571,20.0
32,FC Storm FC Storm B17 Loveland White,7.0,1.0,2.0,4.0,14.0,29.0,-15.0,5.0,0.7142857142857143,25.2
33,Cincinnati West CWSC B17 Academy Elite,7.0,1.0,2.0,4.0,12.0,30.0,-18.0,5.0,0.7142857142857143,24.0
34,FC Dayton FC Dayton B17 Elite,7.0,1.0,2.0,4.0,10.0,36.0,-26.0,5.0,0.7142857142857143,20.5
35,Kings Hammer Soccer Club KHJR NKY B17-3,7.0,1.0,2.0,4.0,26.0,36.0,-10.0,5.0,0.7142857142857143,16.7
36,Fairfield Optimist Soccer Club FOSC B17 Red,6.0,1.0,1.0,4.0,11.0,30.0,-19.0,4.0,0.6666666666666666,21.1
37,Cincy SC Cincy SC B17 Elite,7.0,0.0,4.0,3.0,18.0,25.0,-7.0,4.0,0.5714285714285714,13.3
38,FC Storm FC Storm B17 Loveland Blue,6.0,1.0,0.0,5.0,7.0,26.0,-19.0,3.0,0.5,17.2
39,Mercury Mercury B17 West,7.0,1.0,0.0,6.0,14.0,37.0,-23.0,3.0,0.4285714285714285,15.1
40,Kolping SC Kolping SC B17/18 Orange B,7.0,1.0,0.0,6.0,10.0,40.0,-30.0,3.0,0.4285714285714285,12.1
41,FC Dayton FC Dayton B17 Navy,7.0,0.0,2.0,5.0,4.0,56.0,-52.0,2.0,0.2857142857142857,6.7
42,Mercury Mercury B17 Red,8.0,0.0,2.0,6.0,8.0,40.0,-32.0,2.0,0.25,8.8
43,Kings Hammer Soccer Club KHJR CINCY B17-1,8.0,0.0,2.0,6.0,8.0,58.0,-50.0,2.0,0.25,5.8
44,Warrior White B17/18,8.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.13,18.0
45,FC Storm FC Storm B17 Loveland Black,6.0,0.0,0.0,6.0,4.0,42.0,-38.0,0.0,0.0,0.0
