Rank,Team,GP,W,L,D,GF,GA,GD,Pts,PPG,StrengthIndex,SourceURL,Division,EventID,GroupID,League,last_updated
1,Barcelona United Barcelona United Elite II 18B,0,0,0,0,0,0,0,0,0.0,50.0,https://system.gotsport.com/org_event/events/45535/results?group=418528,2018B Division,45535,418528,Grove City Fall Classic,2025-11-03 10:53:00
2,Columbus United Columbus United U8B,0,0,0,0,0,0,0,0,0.0,50.0,https://system.gotsport.com,2018B Division,Grove_City_Fall_Classic_2025,Unknown,Grove City Fall Classic,2025-11-03 10:53:00
3,Grove City Kids Association GCKA 2018B,0,0,0,0,0,0,0,0,0.0,50.0,https://system.gotsport.com/org_event/events/45535/results?group=418528,2018B Division,45535,418528,Grove City Fall Classic,2025-11-03 10:53:00
4,Dublin Soccer League DSX Orange 2018B,4,1,1,2,18,12,6,5,1.25,50.0,https://system.gotsport.com,2018B Division,Grove_City_Fall_Classic_2025,Unknown,Grove City Fall Classic,2025-11-03 10:53:00

