Rank,Team,GP,W,D,L,GF,GA,GD,Pts,PPG,StrengthIndex
1,Lakota FC 2018 Black,3.0,3.0,0.0,0.0,14.0,1.0,13.0,29.0,9.67,98.0
2,Lakota FC 2018 Red,3.0,2.0,1.0,0.0,13.0,4.0,8.0,26.0,8.67,100.0
3,Club Ohio United 2018 Black,3.0,1.0,1.0,1.0,13.0,9.0,4.0,19.0,6.33,97.0
4,Little Miami FC,3.0,2.0,0.0,1.0,10.0,9.0,1.0,18.0,6.0,88.0
5,TFA B18 Elite,3.0,1.0,0.0,2.0,8.0,22.0,-5.0,10.0,3.33,70.0
6,Club Ohio Club Ohio East 18B Academy,6.0,6.0,0.0,0.0,6.0,0.83,5.17,18.0,3.0,100.0
7,Cincinnati United CUSE 17B Arsenal,8.0,8.0,0.0,0.0,54.0,10.0,44.0,24.0,3.0,100.0
8,Campbell Soccer Club (CSC) CSC U9B Enzweiler,8.0,7.0,1.0,0.0,58.0,2.0,56.0,22.0,2.75,94.2
9,Campbell Soccer Club (CSC) CSC U9B Willoughby,7.0,6.0,1.0,0.0,38.0,7.0,31.0,19.0,2.7142857142857144,91.6
10,Grasshoppers FC Grasshoppers FC - 2018B Pool 1,8.0,7.0,0.0,1.0,7.38,1.75,5.63,21.0,2.63,91.4
11,Cincinnati United CUSM 17B AS Roma,7.0,6.0,0.0,1.0,37.0,11.0,26.0,18.0,2.571428571428572,86.1
12,Lakota Futbol Club LFC B18 Black,8.0,6.0,0.0,2.0,34.0,12.0,22.0,18.0,2.25,75.8
13,Locker Soccer Academy Locker Elite Como 2018 Boys,8.0,5.0,3.0,0.0,5.88,3.75,1.88,18.0,2.25,73.1
14,Worthington United Worthington United 94 2018 Boys Navy 1,4.0,3.0,0.0,1.0,4.0,2.75,1.25,9.0,2.25,71.2
15,Old Town Soccer Club OTSC 2018 Boys,6.0,4.0,1.0,1.0,3.67,2.33,1.33,13.0,2.17,69.6
16,Cincinnati United CUSE 17B Barcelona,6.0,4.0,1.0,1.0,42.0,8.0,34.0,13.0,2.1666666666666665,80.6
