Rank,Team,GP,W,L,D,GF,GA,GD,Pts,PPG,StrengthIndex,SourceURL,Division,EventID,GroupID,League,last_updated
1,Ohio Premier 2017 Boys Premier OCL,0,0,0,0,0,0,0,0,0.0,50.0,https://system.gotsport.com,2018B Division,Dublin_Charity_Cup_2025,Unknown,Dublin Charity Cup,2025-11-03 10:53:00
2,Blast FC Soccer Academy Blast FC 2018B,0,0,0,0,0,0,0,0,0.0,50.0,https://system.gotsport.com/org_event/events/45535/results?group=418528,2018B Division,45535,418528,Dublin Charity Cup,2025-11-03 10:53:00
3,Dublin Soccer League DSX Orange 2018B,2,0,2,0,7,20,-13,0,0.0,50.0,https://system.gotsport.com,2018B Division,Dublin_Charity_Cup_2025,Unknown,Dublin Charity Cup,2025-11-03 10:53:00

