Rank,Team,MP,W,L,D,GF,GA,GD,PTS,PPG,Region,SourceURL,League/Division,GP,Pts,StrengthIndex
29,NASA Xtabi NASA Xtabi 2017 Boys,10.0,3,7,0,2.5,3.2,-0.8,9,0.9,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,10.0,9,33.6
30,Worthington United Worthington United 94 2017 Boys White,9.0,2,5,2,2.22,3.33,-1.11,8,0.89,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,9.0,8,32.4
31,Sporting Columbus Sporting Columbus Boys 2017 III,8.0,2,6,0,3.88,4.5,-0.63,6,0.75,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,8.0,6,30.6
32,Club Oranje Club Oranje Raptors 2017 BU09 White,12.0,3,8,1,2.58,3.92,-1.33,10,0.83,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,12.0,10,30.4
33,Freedom Soccer Club FREEDOM 2017 BOYS,7.0,2,5,0,1.43,3.14,-1.57,6,0.86,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,7.0,6,30.4
34,Elite FC Elite FC 2017 Boys Premier Liverpool,8.0,1,6,1,1.0,3.25,-2.25,4,0.5,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,8.0,4,19.9
35,Grove City Kids Association GCKA 2017B Red,13.0,1,11,1,1.38,4.46,-2.38,4,0.31,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,13.0,4,15.1
36,SP Soccer Academy SP Soccer Academy 2017 Boys Blue,9.0,0,8,1,1.22,4.0,-2.22,1,0.11,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,9.0,1,10.9
37,Worthington United Worthington United 94 2017 Boys Red,7.0,0,7,0,1.29,3.86,-2.43,0,0.0,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,7.0,0,7.7
38,Worthington United WSP Piche 2017 Boys,10.0,0,10,0,1.6,4.5,-2.8,0,0.0,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,10.0,0,6.6
39,Sporting Columbus Sporting Columbus Boys 2017 Bexley,8.0,0,8,0,1.75,6.38,-3.0,0,0.0,Unknown,https://system.gotsport.com/org_event/events/45535/results?group=418537,OCL BU09 7v7 Stripes,8.0,0,6.0
