Rank,Team,GP,W,L,D,GF,GA,GD,Pts,PPG,StrengthIndex,SourceURL,Division,EventID,GroupID,League,last_updated
1,LFC United LFC United 2018 B Elite 2,0,0,0,0,0,0,0,0,0.0,50.0,https://system.gotsport.com/org_event/events/45535/results?group=418528,2018B Division,45535,418528,Murfin Friendly Series,2025-11-03 10:53:00
2,Elite FC Elite FC 2018 Boys Tottenham,0,0,0,0,0,0,0,0,0.0,50.0,https://system.gotsport.com/org_event/events/45535/results?group=418528,2018B Division,45535,418528,Murfin Friendly Series,2025-11-03 10:53:00
3,Northwest FC Northwest FC 2018B Academy Blue,0,0,0,0,0,0,0,0,0.0,50.0,https://system.gotsport.com/org_event/events/45535/results?group=418528,2018B Division,45535,418528,Murfin Friendly Series,2025-11-03 10:53:00
4,Dublin Soccer League DSX Orange 2018B,3,1,1,1,16,8,8,4,1.33,50.0,https://system.gotsport.com,2018B Division,Murfin_Friendly_Series_2025,Unknown,Murfin Friendly Series,2025-11-03 10:53:00

