DSX_Opponent,Opponent_of_Opponent
Delaware Knights Delaware Knights 2018 BU08,Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys
Delaware Knights Delaware Knights 2018 BU08,Barcelona United Barcelona United Elite II 18B
Delaware Knights Delaware Knights 2018 BU08,NASA Xtabi NASA Xtabi 2018 Boys
Delaware Knights Delaware Knights 2018 BU08,Dublin United Soccer Club DUSC Nets 2016 Boys
Delaware Knights Delaware Knights 2018 BU08,Old Town Soccer Club OTSC 2018 Boys
Delaware Knights Delaware Knights 2018 BU08,Granville United FC Granville United FC 2018 Boys
Johnstown FC Johnstown FC 2018 Boys,Blast FC Soccer Academy Blast FC 2018B
Johnstown FC Johnstown FC 2018 Boys,Polaris Soccer Club Polaris SC 18B Navy
Johnstown FC Johnstown FC 2018 Boys,Sporting Columbus Sporting Columbus Boys 2018 II
Johnstown FC Johnstown FC 2018 Boys,Delaware Knights Delaware Knights 2018 BU08
Johnstown FC Johnstown FC 2018 Boys,Columbus Force SC CE 2018B Net Ninjas
Johnstown FC Johnstown FC 2018 Boys,Upper Arlington United UAU 2018 BU U8 BLACK
Johnstown FC Johnstown FC 2018 Boys,Elite FC Elite FC 2018 Boys Liverpool
Johnstown FC Johnstown FC 2018 Boys,LFC United LFC United 2018 B Elite
Johnstown FC Johnstown FC 2018 Boys,Club Ohio Club Ohio West 18B Academy II
Johnstown FC Johnstown FC 2018 Boys,Northwest FC Northwest FC 2018B Academy Blue
Johnstown FC Johnstown FC 2018 Boys,Dublin United Soccer Club DUSC Sharks 2018 Boys
Johnstown FC Johnstown FC 2018 Boys,Grove City Kids Association GCKA 2018B
Johnstown FC Johnstown FC 2018 Boys,Elite FC Elite FC 2018 Boys Tottenham
Johnstown FC Johnstown FC 2018 Boys,Club Oranje Club Oranje Raptors 2018 BU08 Navy
Johnstown FC Johnstown FC 2018 Boys,LFC United LFC United 2018 B Elite 2
Johnstown FC Johnstown FC 2018 Boys,Worthington United WSP Hawkeyes Blue SC 2018 Boys
Johnstown FC Johnstown FC 2018 Boys,Zanesville Arsenal SC Zanesville Arsenal SC 2018B
Johnstown FC Johnstown FC 2018 Boys,Pride Soccer Club Pride SC 2019/2018 Boys Copa
Johnstown FC Johnstown FC 2018 Boys,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U8B Black
Johnstown FC Johnstown FC 2018 Boys,Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys
Johnstown FC Johnstown FC 2018 Boys,Barcelona United Barcelona United Elite II 18B
Johnstown FC Johnstown FC 2018 Boys,NASA Xtabi NASA Xtabi 2018 Boys
Johnstown FC Johnstown FC 2018 Boys,Dublin United Soccer Club DUSC Nets 2016 Boys
Johnstown FC Johnstown FC 2018 Boys,Old Town Soccer Club OTSC 2018 Boys
Johnstown FC Johnstown FC 2018 Boys,Granville United FC Granville United FC 2018 Boys
Polaris Soccer Club Polaris SC 18B Navy,Blast FC Soccer Academy Blast FC 2018B
Polaris Soccer Club Polaris SC 18B Navy,Sporting Columbus Sporting Columbus Boys 2018 II
Polaris Soccer Club Polaris SC 18B Navy,Delaware Knights Delaware Knights 2018 BU08
Polaris Soccer Club Polaris SC 18B Navy,Columbus Force SC CE 2018B Net Ninjas
Polaris Soccer Club Polaris SC 18B Navy,Johnstown FC Johnstown FC 2018 Boys
Polaris Soccer Club Polaris SC 18B Navy,Upper Arlington United UAU 2018 BU U8 BLACK
Polaris Soccer Club Polaris SC 18B Navy,Elite FC Elite FC 2018 Boys Liverpool
Polaris Soccer Club Polaris SC 18B Navy,LFC United LFC United 2018 B Elite
Polaris Soccer Club Polaris SC 18B Navy,Club Ohio Club Ohio West 18B Academy II
Polaris Soccer Club Polaris SC 18B Navy,Northwest FC Northwest FC 2018B Academy Blue
Polaris Soccer Club Polaris SC 18B Navy,Dublin United Soccer Club DUSC Sharks 2018 Boys
Polaris Soccer Club Polaris SC 18B Navy,Grove City Kids Association GCKA 2018B
Polaris Soccer Club Polaris SC 18B Navy,Elite FC Elite FC 2018 Boys Tottenham
Polaris Soccer Club Polaris SC 18B Navy,Club Oranje Club Oranje Raptors 2018 BU08 Navy
Polaris Soccer Club Polaris SC 18B Navy,LFC United LFC United 2018 B Elite 2
Polaris Soccer Club Polaris SC 18B Navy,Worthington United WSP Hawkeyes Blue SC 2018 Boys
Polaris Soccer Club Polaris SC 18B Navy,Zanesville Arsenal SC Zanesville Arsenal SC 2018B
Polaris Soccer Club Polaris SC 18B Navy,Pride Soccer Club Pride SC 2019/2018 Boys Copa
Polaris Soccer Club Polaris SC 18B Navy,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U8B Black
Polaris Soccer Club Polaris SC 18B Navy,Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys
Polaris Soccer Club Polaris SC 18B Navy,Barcelona United Barcelona United Elite II 18B
Polaris Soccer Club Polaris SC 18B Navy,NASA Xtabi NASA Xtabi 2018 Boys
Polaris Soccer Club Polaris SC 18B Navy,Dublin United Soccer Club DUSC Nets 2016 Boys
Polaris Soccer Club Polaris SC 18B Navy,Old Town Soccer Club OTSC 2018 Boys
Polaris Soccer Club Polaris SC 18B Navy,Granville United FC Granville United FC 2018 Boys
Dublin United Soccer Club DUSC Sharks 2018 Boys,Blast FC Soccer Academy Blast FC 2018B
Dublin United Soccer Club DUSC Sharks 2018 Boys,Polaris Soccer Club Polaris SC 18B Navy
Dublin United Soccer Club DUSC Sharks 2018 Boys,Sporting Columbus Sporting Columbus Boys 2018 II
Dublin United Soccer Club DUSC Sharks 2018 Boys,Delaware Knights Delaware Knights 2018 BU08
Dublin United Soccer Club DUSC Sharks 2018 Boys,Columbus Force SC CE 2018B Net Ninjas
Dublin United Soccer Club DUSC Sharks 2018 Boys,Johnstown FC Johnstown FC 2018 Boys
Dublin United Soccer Club DUSC Sharks 2018 Boys,Upper Arlington United UAU 2018 BU U8 BLACK
Dublin United Soccer Club DUSC Sharks 2018 Boys,Elite FC Elite FC 2018 Boys Liverpool
Dublin United Soccer Club DUSC Sharks 2018 Boys,LFC United LFC United 2018 B Elite
Dublin United Soccer Club DUSC Sharks 2018 Boys,Club Ohio Club Ohio West 18B Academy II
Dublin United Soccer Club DUSC Sharks 2018 Boys,Northwest FC Northwest FC 2018B Academy Blue
Dublin United Soccer Club DUSC Sharks 2018 Boys,Grove City Kids Association GCKA 2018B
Dublin United Soccer Club DUSC Sharks 2018 Boys,Elite FC Elite FC 2018 Boys Tottenham
Dublin United Soccer Club DUSC Sharks 2018 Boys,Club Oranje Club Oranje Raptors 2018 BU08 Navy
Dublin United Soccer Club DUSC Sharks 2018 Boys,LFC United LFC United 2018 B Elite 2
Dublin United Soccer Club DUSC Sharks 2018 Boys,Worthington United WSP Hawkeyes Blue SC 2018 Boys
Dublin United Soccer Club DUSC Sharks 2018 Boys,Zanesville Arsenal SC Zanesville Arsenal SC 2018B
Dublin United Soccer Club DUSC Sharks 2018 Boys,Pride Soccer Club Pride SC 2019/2018 Boys Copa
Dublin United Soccer Club DUSC Sharks 2018 Boys,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U8B Black
Dublin United Soccer Club DUSC Sharks 2018 Boys,Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys
Dublin United Soccer Club DUSC Sharks 2018 Boys,Barcelona United Barcelona United Elite II 18B
Dublin United Soccer Club DUSC Sharks 2018 Boys,NASA Xtabi NASA Xtabi 2018 Boys
Dublin United Soccer Club DUSC Sharks 2018 Boys,Dublin United Soccer Club DUSC Nets 2016 Boys
