Rank,Team,GP,W,L,D,GF,GA,GD,Pts,PPG,StrengthIndex,SourceURL,Division,League,last_updated
1,Cincy SC Cincy SC B18/17 Premier,6,5,0,1,45,10,35,16,2.6666666666666665,92.2,https://system.gotsport.com/org_event/events/43740/results?group=380747,CPL U9,CPL Fall 2025,2025-10-30 16:51:54
5,Eclipse FC Eclipse FC Beasts,6,0,5,1,8,25,-17,1,0.16666666666666666,10.4,https://system.gotsport.com/org_event/events/43740/results?group=380752,CPL U9,CPL Fall 2025,2025-10-30 16:51:54
11,Elevate FC Elevate FC BU9 2017 18,8,0,7,1,7,44,-37,1,0.125,4.0,https://system.gotsport.com/org_event/events/43740/results?group=406317,CPL U9,CPL Fall 2025,2025-10-30 16:51:55
6,FC Dayton FC Dayton B17 Elite,7,1,4,2,10,36,-26,5,0.7142857142857143,20.5,https://system.gotsport.com/org_event/events/43740/results?group=380748,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
9,FC Dayton FC Dayton B17 Navy,7,0,5,2,4,56,-52,2,0.2857142857142857,6.7,https://system.gotsport.com/org_event/events/43740/results?group=380746,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
3,FC Storm FC Storm B17 IH Orange,7,3,3,1,20,22,-2,10,1.4285714285714286,47.5,https://system.gotsport.com/org_event/events/43740/results?group=380749,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
7,FC Storm FC Storm B17 IH White,7,1,3,3,13,19,-6,6,0.8571428571428571,32.4,https://system.gotsport.com/org_event/events/43740/results?group=380747,CPL U9,CPL Fall 2025,2025-10-30 16:51:54
6,FC Storm FC Storm B17 Loveland Black,6,0,6,0,4,42,-38,0,0.0,0.0,https://system.gotsport.com/org_event/events/43740/results?group=380750,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
9,FC Storm FC Storm B17 Loveland Blue,6,1,5,0,7,26,-19,3,0.5,17.2,https://system.gotsport.com/org_event/events/43740/results?group=380754,CPL U9,CPL Fall 2025,2025-10-30 16:51:55
4,FC Storm FC Storm B17 Loveland Orange,6,3,2,1,26,11,15,10,1.6666666666666667,61.4,https://system.gotsport.com/org_event/events/43740/results?group=380748,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
8,FC Storm FC Storm B17 Loveland White,7,1,4,2,14,29,-15,5,0.7142857142857143,25.2,https://system.gotsport.com/org_event/events/43740/results?group=380746,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
8,Fairfield Optimist Soccer Club FOSC B17 Red,6,1,4,1,11,30,-19,4,0.6666666666666666,21.1,https://system.gotsport.com/org_event/events/43740/results?group=380753,CPL U9,CPL Fall 2025,2025-10-30 16:51:52
4,Fairfield Optimist Soccer Club FOSC B17 White,8,6,2,0,29,20,9,18,2.25,70.9,https://system.gotsport.com/org_event/events/43740/results?group=406317,CPL U9,CPL Fall 2025,2025-10-30 16:51:55
6,Independence SC ISC B17 Koking,7,2,4,1,17,49,-32,7,1.0,24.6,https://system.gotsport.com/org_event/events/43740/results?group=380747,CPL U9,CPL Fall 2025,2025-10-30 16:51:54
6,Kings Hammer Soccer Club KHJR CINCY B17-1,8,0,6,2,8,58,-50,2,0.25,5.8,https://system.gotsport.com/org_event/events/43740/results?group=380749,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
1,Kings Hammer Soccer Club KHJR CINCY B17-2,7,6,1,0,41,17,24,18,2.5714285714285716,85.3,https://system.gotsport.com/org_event/events/43740/results?group=380746,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
4,Kings Hammer Soccer Club KHJR CINCY B17-3,6,2,3,1,20,28,-8,7,1.1666666666666667,38.2,https://system.gotsport.com/org_event/events/43740/results?group=380750,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
4,Kings Hammer Soccer Club KHJR NKY B17-1,6,2,2,2,16,13,3,8,1.3333333333333333,47.6,https://system.gotsport.com/org_event/events/43740/results?group=380749,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
5,Kings Hammer Soccer Club KHJR NKY B17-2,8,2,5,1,28,26,2,7,0.875,36.2,https://system.gotsport.com/org_event/events/43740/results?group=380746,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
6,Kings Hammer Soccer Club KHJR NKY B17-3,7,1,4,2,26,36,-10,5,0.7142857142857143,27.4,https://system.gotsport.com/org_event/events/43740/results?group=380751,CPL U9,CPL Fall 2025,2025-10-30 16:51:54
6,Kings Hammer Soccer Club KHJR NKY B17-4,7,2,4,1,13,25,-12,7,1.0,33.2,https://system.gotsport.com/org_event/events/43740/results?group=380754,CPL U9,CPL Fall 2025,2025-10-30 16:51:55
7,Kolping SC Kolping SC B17/18 Orange,7,2,5,0,10,24,-14,6,0.8571428571428571,29.0,https://system.gotsport.com/org_event/events/43740/results?group=380754,CPL U9,CPL Fall 2025,2025-10-30 16:51:55
9,Kolping SC Kolping SC B17/18 Orange B,7,1,6,0,10,40,-30,3,0.42857142857142855,12.1,https://system.gotsport.com/org_event/events/43740/results?group=406317,CPL U9,CPL Fall 2025,2025-10-30 16:51:55
2,Lakota Futbol Club LFC B18 Black,8,6,2,0,34,12,22,18,2.25,75.8,https://system.gotsport.com/org_event/events/43740/results?group=380747,CPL U9,CPL Fall 2025,2025-10-30 16:51:54
10,Lakota Futbol Club LFC B18 Red,7,1,6,0,15,34,-19,3,0.42857142857142855,16.9,https://system.gotsport.com/org_event/events/43740/results?group=380754,CPL U9,CPL Fall 2025,2025-10-30 16:51:55
2,Lakota Futbol Club Lakota FC B17 Gray,7,5,1,1,36,10,26,16,2.2857142857142856,79.5,https://system.gotsport.com/org_event/events/43740/results?group=380746,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
3,Lakota Futbol Club Lakota FC B17 Red,6,4,2,0,36,11,25,12,2.0,74.2,https://system.gotsport.com/org_event/events/43740/results?group=380753,CPL U9,CPL Fall 2025,2025-10-30 16:51:52
2,Lakota Futbol Club Lakota FC B17 Silver,8,6,1,1,50,10,40,19,2.375,85.4,https://system.gotsport.com/org_event/events/43740/results?group=406317,CPL U9,CPL Fall 2025,2025-10-30 16:51:55
4,Lakota Futbol Club Lakota FC B17 White,7,3,1,3,22,16,6,12,1.7142857142857142,57.6,https://system.gotsport.com/org_event/events/43740/results?group=380747,CPL U9,CPL Fall 2025,2025-10-30 16:51:54
5,Lawrenceburg Greendale Soccer Club LGSC B17 Predators,8,5,2,1,27,12,15,16,2.0,67.3,https://system.gotsport.com/org_event/events/43740/results?group=406317,CPL U9,CPL Fall 2025,2025-10-30 16:51:55
1,Lawrenceburg Greendale Soccer Club LGSC B17 Red Hawks,6,6,0,0,28,6,22,18,3.0,96.0,https://system.gotsport.com/org_event/events/43740/results?group=380751,CPL U9,CPL Fall 2025,2025-10-30 16:51:54
