Rank,Team,GP,W,L,D,GF,GA,GD,Pts,PPG,StrengthIndex,SourceURL,Division,League
1,Lakota FC 2018 Black,3,3,0,0,14,1,13,29,9.67,95.0,https://example.com,B08Orange,2025 Haunted Classic
2,Club Ohio West 18B Academy,3,3,0,0,29,1,15,29,9.67,90.0,https://example.com,B08Orange,2025 Haunted Classic
3,DSX Orange 2018B,3,1,2,0,3,9,-4,10,3.33,50.0,https://example.com,B08Orange,2025 Haunted Classic
4,BSA Celtic 18B City,3,1,2,0,7,14,-7,12,4.0,45.0,https://example.com,B08Orange,2025 Haunted Classic
5,TFA B18 Elite,3,1,2,0,8,22,-5,10,3.33,40.0,https://example.com,B08Orange,2025 Haunted Classic
6,BSA Celtic 18B United,3,0,3,0,0,14,-12,0,0.0,25.0,https://example.com,B08Orange,2025 Haunted Classic
