Rank,Team,GP,W,L,D,GF,GA,GD,Pts,PPG,StrengthIndex,SourceURL,Division,EventID,GroupID,League,last_updated
1,Elite FC Elite FC 2018 Boys Liverpool,0,0,0,0,0,0,0,0,0.0,50.0,https://system.gotsport.com,2018B Division,Obetz_Futbol_Cup_2025,Unknown,Obetz Futbol Cup,2025-11-03 13:53:00
2,Ohio Premier 2017 Boys Academy Dublin White,0,0,0,0,0,0,0,0,0.0,50.0,https://system.gotsport.com,2018B Division,Obetz_Futbol_Cup_2025,Unknown,Obetz Futbol Cup,2025-11-03 13:53:00
3,Elite FC Elite FC 2018 Boys Arsenal,0,0,0,0,0,0,0,0,0.0,50.0,https://system.gotsport.com/org_event/events/45535/results?group=418528,2018B Division,45535,418528,Obetz Futbol Cup,2025-11-03 13:53:00
4,Dublin Soccer League DSX Orange 2018B,3,1,2,0,9,21,-12,3,1.0,50.0,https://system.gotsport.com,2018B Division,Obetz_Futbol_Cup_2025,Unknown,Obetz Futbol Cup,2025-11-03 13:53:00

