Discovered_Team,Matched_Known_Team,EventID,GroupID,SourceURL,Division,Current_GP,Has_Game_Data
Pride Soccer Club Pride SC 2018 Girls,Pride Soccer Club Pride SC 2019/2018 Boys Copa,45535,418569,https://system.gotsport.com/org_event/events/45535/results?group=418569,Schedule,0,False
Columbus Force SC Columbus Force 18G Premier,Columbus Force SC CE 2018B Net Ninjas,45535,418570,https://system.gotsport.com/org_event/events/45535/results?group=418570,Schedule,0,False
NASA Xtabi NASA Xtabi 2018 Girls,NASA Xtabi NASA Xtabi 2018 Boys,45535,418570,https://system.gotsport.com/org_event/events/45535/results?group=418570,Schedule,0,False
Columbus Force SC Columbus Force 17G Premier,Columbus Force SC CE 2018B Net Ninjas,45535,418571,https://system.gotsport.com/org_event/events/45535/results?group=418571,Schedule,0,False
Club Oranje Club Oranje Raptors 2017 GU09 Oranje,Club Oranje Club Oranje Raptors 2018 BU08 Navy,45535,418572,https://system.gotsport.com/org_event/events/45535/results?group=418572,Schedule,0,False
Lancaster Select Soccer Association,Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys,45535,418572,https://system.gotsport.com/org_event/events/45535/results?group=418572,Schedule,0,False
Club Oranje Club Oranje Raptors 2017 GU09 Navy,Club Oranje Club Oranje Raptors 2018 BU08 Navy,45535,417566,https://system.gotsport.com/org_event/events/45535/results?group=417566,Schedule,0,False
Columbus Force SC CE 2017G Swifties,Columbus Force SC CE 2018B Net Ninjas,45535,417566,https://system.gotsport.com/org_event/events/45535/results?group=417566,Schedule,0,False
Columbus Force SC Columbus Force 17g Blue,Columbus Force SC CE 2018B Net Ninjas,45535,417566,https://system.gotsport.com/org_event/events/45535/results?group=417566,Schedule,0,False
Johnstown FC Johnstown FC 2017 Girls,Johnstown FC Johnstown FC 2018 Boys,45535,417566,https://system.gotsport.com/org_event/events/45535/results?group=417566,Schedule,0,False
Pataskala Futbol Club Extreme,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U8B Black,45535,417566,https://system.gotsport.com/org_event/events/45535/results?group=417566,Schedule,0,False
Pride Soccer Club Pride SC 2017 Girls,Pride Soccer Club Pride SC 2019/2018 Boys Copa,45535,417566,https://system.gotsport.com/org_event/events/45535/results?group=417566,Schedule,0,False
Columbus Force SC CE 2016G Sparks,Columbus Force SC CE 2018B Net Ninjas,45535,418575,https://system.gotsport.com/org_event/events/45535/results?group=418575,Schedule,0,False
Columbus Force SC CE 2016G Torpedoes,Columbus Force SC CE 2018B Net Ninjas,45535,418575,https://system.gotsport.com/org_event/events/45535/results?group=418575,Schedule,0,False
Columbus Force SC Columbus Force 16G Premier,Columbus Force SC CE 2018B Net Ninjas,45535,418575,https://system.gotsport.com/org_event/events/45535/results?group=418575,Schedule,0,False
Club Oranje Club Oranje Raptors 2016 GU10 Oranje,Club Oranje Club Oranje Raptors 2018 BU08 Navy,45535,418575,https://system.gotsport.com/org_event/events/45535/results?group=418575,Schedule,0,False
Legend SC Legend SC 2016 Girls Blue,Worthington United WSP Hawkeyes Blue SC 2018 Boys,45535,418575,https://system.gotsport.com/org_event/events/45535/results?group=418575,Schedule,0,False
NASA Xtabi NASA Xtabi 2016 Girls,NASA Xtabi NASA Xtabi 2018 Boys,45535,418575,https://system.gotsport.com/org_event/events/45535/results?group=418575,Schedule,0,False
Pride Soccer Club Pride SC 2016 Girls,Pride Soccer Club Pride SC 2019/2018 Boys Copa,45535,418575,https://system.gotsport.com/org_event/events/45535/results?group=418575,Schedule,0,False
Lancaster Select Soccer Association,Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys,45535,418576,https://system.gotsport.com/org_event/events/45535/results?group=418576,Schedule,0,False
Pataskala Futbol Club Extreme,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U8B Black,45535,418576,https://system.gotsport.com/org_event/events/45535/results?group=418576,Schedule,0,False
Zanesville Arsenal SC Zanesville Arsenal SC 2016G Blue,Worthington United WSP Hawkeyes Blue SC 2018 Boys,45535,418576,https://system.gotsport.com/org_event/events/45535/results?group=418576,Schedule,0,False
Zanesville Arsenal SC Zanesville Arsenal SC 2016G Orange,Zanesville Arsenal SC Zanesville Arsenal SC 2018B,45535,418576,https://system.gotsport.com/org_event/events/45535/results?group=418576,Schedule,0,False
Club Oranje Club Oranje Raptors 2016 GU10 Navy,Club Oranje Club Oranje Raptors 2018 BU08 Navy,45535,418576,https://system.gotsport.com/org_event/events/45535/results?group=418576,Schedule,0,False
Dublin United Soccer Club DUSC Eclipse 2016 Girls,Dublin United Soccer Club DUSC Sharks 2018 Boys,45535,418576,https://system.gotsport.com/org_event/events/45535/results?group=418576,Schedule,0,False
Delaware Knights Delaware Knights 2015 GU11 Red,Delaware Knights Delaware Knights 2018 BU08,45535,418578,https://system.gotsport.com/org_event/events/45535/results?group=418578,Schedule,0,False
Columbus Force SC CE 2015G Hot Shots,Columbus Force SC CE 2018B Net Ninjas,45535,418581,https://system.gotsport.com/org_event/events/45535/results?group=418581,Schedule,0,False
Columbus Force SC CE 2015G Crew Girls,Columbus Force SC CE 2018B Net Ninjas,45535,418581,https://system.gotsport.com/org_event/events/45535/results?group=418581,Schedule,0,False
Delaware Knights Delaware Knights 2015 GU11 Black,Delaware Knights Delaware Knights 2018 BU08,45535,418581,https://system.gotsport.com/org_event/events/45535/results?group=418581,Schedule,0,False
Polaris Soccer Club Polaris SC 15G Gray,Polaris Soccer Club Polaris SC 18B Navy,45535,418581,https://system.gotsport.com/org_event/events/45535/results?group=418581,Schedule,0,False
NASA Xtabi NASA Xtabi 2015 Girls,NASA Xtabi NASA Xtabi 2018 Boys,45535,418581,https://system.gotsport.com/org_event/events/45535/results?group=418581,Schedule,0,False
