Rank,Team,GP,W,L,D,GF,GA,GD,Pts,PPG,StrengthIndex,SourceURL,Division,League
1,Lakota FC 2018 Red,3,2,0,1,13,4,8,26,8.67,100.0,https://example.com,B08Black,2025 Haunted Classic
2,Club Ohio United 2018 Black,3,1,1,1,13,9,4,19,6.33,97.0,https://example.com,B08Black,2025 Haunted Classic
3,Little Miami FC,3,2,1,0,10,9,1,18,6.0,88.0,https://example.com,B08Black,2025 Haunted Classic
4,Oakwood United,3,0,3,0,2,16,-13,2,0.67,17.6,https://example.com,B08Black,2025 Haunted Classic
